Key,ko,en,ja
UIHero_Batch,영웅을 배치하세요,Deploy the hero,ヒーローを配置してください
UIHeroPopupBatch,배치할곳을 선택하여주세요!,Please select a location to place it!,配置する場所を選んでください！
UIHeroInfo,영웅 정보,Hero Information,ヒーロー情報
UISkillInfo,스킬 정보,Skill Information,スキル情報
UIRelicSummon,유물 소환,Relic Summon,遺物召喚
UIRelicEnforce,유물 효과,Artifact Effect,遺物効果
UIAllEnforce,일괄 강화,Batch Enhance,一括強化
UIEffect,효과,Effect,効果
UIEnforce,강화,Enhance,強化
UISmelt,잠재 능력,Potential Ability,潜在能力
UISmelt_NeedMaterial,제련에 필요한 재료,Materials needed for smelting,製錬に必要な材料
UISmelt_Smelt,제련하기,Smelt,精錬する
UISmelt_Smelt_Description,일정 확률로 최대 5개의 랜덤한 효과가 생성됩니다.,Up to 5 random effects are generated with a certain probability.,一定の確率で最大5つのランダムな効果が生成されます。
UIDailyMission,일일 미션,Daily Mission,毎日のミッション
UIDailyMissionDescription,"미션은 하루에 한번, 오전 00 : 00에 초기화 됩니다.",Missions are reset once a day at 00:00 AM.,ミッションは1日1回、午前00:00に初期化されます。
UIMissionKillMonster,몬스터 처치,Defeat Monsters,モンスター討伐
UIMissionStageClear,스테이지 클리어,Stage Clear,ステージクリア
UIMissionGoldDungeonClear,골드 던전 클리어,Clear Gold Dungeon,ゴールドダンジョンクリア
UIMissionTreasureDungeonClear,보물 던전 클리어,Clear Treasure Dungeon,宝ダンジョンクリア
UIMissionGetExp,경험치 획득,Gain Experience,経験値獲得
UIMissionHeroSummon,영웅 소환,Hero Summon,ヒーロー召喚
UIMissionLevelUp,레벨 업,Level Up,レベルアップ
UIMissionEnterDungeon,던전 입장,Enter Dungeon,ダンジョン入場
UIMissionClearDungeon,던전 클리어,Dungeon Clear,ダンジョンクリア
UIMissionWatchAD,광고시청,Watch Advertisement,広告を見る
UIMissionSetSmelt,각인 설정하기,Set up Engraving,刻印を設定する
UIMissionDailyCheck,일일 출석,Daily Attendance,毎日出席
UIMissionStageClearDescription,스테이지를 클리어하세요,Clear the stage,ステージをクリアしよう
UIMissionLevelUpDescription,레벨업을 시켜보세요,Try leveling up,レベルアップしてみよう
UIMissionSummonHeroDescription,영웅을 3회 뽑아보세요,Try drawing a hero 3 times.,ヒーローを3回召喚してみよう
UIMissionSummonRelicDescription,유물을 3회 뽑아보세요,Try drawing artifacts 3 times.,遺物を3回召喚してみよう
UIMissionEnterDungeonDescription,던전에 입장하세요,Please enter the dungeon.,ダンジョンに入場しよう
UIMissionClearDungeonDescription,던전을 클리어하세요,Clear the dungeon.,ダンジョンをクリアしよう
UIMissionWatchADDescription,광고를 2회 시청하세요,Please watch the advertisement twice.,広告を2回視聴しよう
UIMissionSetSmeltDescription,각인을 1회 설정하세요,Please set the engraving once.,刻印を1回設定しよう
UIMissionDailyCheckDescription,하루에 한번 출석하세요,Please check in once a day.,1日1回出席しよう
UIAchievementDescription,업적 달성시 영구히 지속되는 능력치를 얻습니다.,You gain permanent stats upon achieving an achievement.,業績達成時に永久に持続する能力値を得ます。
UIAchievement_BasicTraining,기초 전술 훈련,Basic Tactical Training,基礎戦術訓練
UIAchievement_SwiftHunter,신속한 사냥꾼,Swift Hunter,迅速なハンター
UIAchievement_HolyGuardian,성스러운 수호자,Holy Guardian,聖なる守護者
UIAchievement_MarchoftheIronWall,철벽의 진군,March of the Iron Wall,鉄壁の進軍
UIAchievement_VanguardDestructionUnit,선봉 파괴 부대,Vanguard Destruction Unit,先鋒破壊部隊
UIAchievement_MagicResonance,마력 공명,Magic Resonance,魔力共鳴
UIAchievement_CompletedExpe,완성된 원정대,Completed Expedition,完成した遠征隊
UIAchievement_AncientArtifaceCollector,고대 유물 수집가,Ancient Artifact Collector,古代遺物コレクター
UIAchievement_GodChoice,신의 선택,God's Choice,神の選択
UIAchievement_CollectorOfMyths,신화의 수집가,Collector of Myths,神話のコレクター
UIADS01_01,모든 캐릭터 공격력 + {0}%,All characters' attack power + {0}%,全キャラクター攻撃力 + {0}%
UIADS01_02,모든 캐릭터 HP + {0}%,All characters HP + {0}%,全キャラクターHP + {0}%
UIADS01_03,"골드, 아이템 획득량 + {0}%",Gold and item acquisition + {0}%,ゴールド・アイテム獲得量 + {0}%
UIADS01_04,크리티컬 확률 + {0}%,Critical Chance + {0}%,クリティカル確率 + {0}%
DamageUp,데미지 증가,Damage Increase,ダメージ増加
HpUp,HP 증가,HP Increase,HP増加
GoldUp,골드 획득량 증가,Increased Gold Acquisition,ゴールド獲得量増加
ItemDropUp,아이템 획득량 증가,Increased Item Acquisition,アイテム獲得量増加
ExpUp,경험치 획득량 증가,Increased Experience Gain,経験値獲得量増加
AttackSpeedUp,공격속도 증가,Increased Attack Speed,攻撃速度増加
CriticalChanceUp,크리티컬 확률 증가,Increased Critical Chance,クリティカル確率増加
CriticalDamageUp,크리티컬 데미지 증가,Critical Damage Increase,クリティカルダメージ増加
UINPC1_Talk1,와! 이번 장비 정말 멋진데요?,Wow! This equipment is really cool!,うわー！今回の装備は本当にかっこいいですね！
UINPC1_Talk2,오늘도 무사히 다녀오세요!,Have a safe trip today!,今日も無事に行ってきてください！
UINPC1_Talk3,잠시 눈을 붙이고 오셔도 돼요.,You can take a nap before you come.,少し休んで来てもいいですよ。
UINPC1_Talk4,제가 여기서 지켜보고 있을게요!,I'll be watching from here!,私はここで見守っていますよ！
UINPC1_Talk5,"방금 얻으신 그 유물,\n전설 속에서나 보던 건데 대단해요!",That artifact you just obtained is something you only see in legends. Amazing!,ちょうど得たその遺物、\n伝説の中でしか見たことがないのにすごいですね！
UINPC1_Talk6,몬스터들이 무서워서 벌벌 떨고 있네요.\n역시 모험가님이에요!,The monsters are trembling with fear. You're truly an adventurer!,モンスターたちが恐くて震えていますね。\nさすが冒険者様です！
UINPC1_Talk7,지치면 언제든 돌아오세요.\n따뜻한 포션 한 잔 준비해둘게요!,Come back anytime you feel exhausted. I'll have a warm potion ready for you!,疲れたらいつでも戻ってきてください。\n温かいポーションを用意しておきますよ！
UINPC2_Talk1,강해지는 데 왕도는 없지.\n그저 묵묵히 버티는 놈이 이기는 거야.,There is no royal road to becoming strong. The one who silently endures wins.,強くなるのに王道はない。\nただ黙々と耐える者が勝つのだ。
UINPC2_Talk2,가방이 꽉 찼는지 가끔 확인해.\n보물 흘리고 다니면 아깝잖아?,"Check your bag occasionally to see if it's full. It's a waste to leave treasures lying around, isn't it?",たまに鞄がいっぱいかどうか確認しろ。\n宝を落として歩いたらもったいないだろ？
UINPC2_Talk3,요즘 몬스터들은 예전보다 독해졌군.\n강화는 빼먹지 않았겠지?,"Monsters these days have gotten tougher than before. You didn't skip the upgrades, did you?",最近のモンスターは以前より手強くなったな。\n強化は忘れてないだろ？
UINPC2_Talk4,자고 일어났더니 이만큼이나 성장했다고?\n세상 참 좋아졌구먼.,You woke up and grew this much? The world really has gotten better.,寝て起きたらこれだけ成長したって？\n世界も良くなったもんだ。
UINPC2_Talk5,죽지 말고 살아 돌아와라.\n그래야 나랑 술 한잔할 거 아니냐.,"Don't die, come back alive. That's the only way you can have a drink with me.",死なずに生きて帰ってこい。\nそうじゃないと俺と一杯飲めないだろ。
